,smi,label
53,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0
54,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
55,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,0
56,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,0
57,CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,0
58,ClC(Cl)Cl,0
59,CCCCCO,0
60,CC(Cl)(Cl)Cl,0
61,C=C,0
62,CC(C)Br,0
63,CC(C)(C)O,0
64,CCC(C)(C)C,0
65,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,0
66,CCCCC1(CC)C(=O)NC(=O)NC1=O,0
67,ClC=C(Cl)Cl,0
68,CCCOC(=O)c1ccc(N)cc1,0
69,Cc1ccccc1C,0
70,Cc1ccc(C)c(C)c1,0
71,CCC(C)CC,0
72,CC1CCCC1,0
73,CC(C)(C)c1ccccc1,0
74,FC(F)(F)c1ccc(Cl)cc1,0
75,CCc1ccccc1,0
76,C=Cc1ccccc1,0
77,Cc1ccc(C)cc1,0
78,CCCBr,0
79,CCCC(C)C,0
80,CC(=O)OC(C)C,0
81,Cc1cccc(C)c1,0
82,CC1CCCCC1,0
83,CCCOC(C)=O,0
84,CCCCC,0
85,C=COC=C,0
86,CC(=O)OCC(C)C,0
87,CCCCCC,0
88,C1CCCCC1,0
89,C=CCCCCCC,0
90,CCCCCCCCC,0
91,CCCCCCC,0
92,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,0
93,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,0
94,C=COCC(F)(F)F,0
95,CC1CCCCC1C,0
96,CCCCC(C)C,0
97,CCCCCC(C)C,0
98,CCCCCOC(C)=O,0
99,ClCC(Cl)(Cl)Cl,0
100,CCOC(C)(C)C,0
101,CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,0
102,CCCCCCCC(C)C,0
103,C=CCCCCCCCC,0
104,COC(C)(C)C,0
105,CCCCCCCCCC,0
106,FS(F)(F)(F)(F)F,0
107,CC(C)(C)C1CCCCC1,0
108,CCCCCCC(C)C,0
109,CNCCCN1c2ccccc2Sc2ccccc21,0
110,CCCCOC(C)=O,0
111,CC(=O)OCCC(C)C,0
112,C=CCCCCCCC,0
113,FC(Br)C(F)(F)F,0
114,ClC(Cl)=C(Cl)Cl,0
115,c1cc2ccc3cccc4ccc(c1)c2c34,0
116,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,0
117,FC(F)OC(F)C(F)(F)F,0
118,CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,0
119,CCC(C)(C)OC,0
120,CNCCCN1c2ccccc2Sc2ccc(Cl)cc21,0
121,CCc1ccc(C(=O)C(C)CN2CCCC2)cc1,0
122,c1ccc2c(c1)CCCN2,0
123,NCCCN1c2ccccc2Sc2ccc(Cl)cc21,0
124,C=COCCCCOC=C,0
125,CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,0
126,O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1,0
127,Clc1ccc(N=C2NCCN2)c(Cl)c1,0
128,CC1CCC(C)C(C)C1,0
129,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,0
130,CSc1ccc2c(c1)N(CCC1CCCNC1)c1ccccc1S2,0
131,CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0
132,CNCCCN1c2ccccc2CCc2cc(O)ccc21,0
133,NCCCN1c2ccccc2CCc2ccccc21,0
134,Cc1cccc2c1Oc1ccccc1C1(O)CCN(C)CC21,0
135,CN1CCC2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,0
136,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)NCCCC2,0
137,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C,0
138,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,0
139,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,0
140,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,0
141,COc1ccc(C(C)C)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,0
142,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,0
143,COc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,0
144,CC(C)Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,0
145,COc1ccc(C(C)C)cc1CNC1CCCNC1c1ccccc1,0
146,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,0
147,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1,0
148,COc1ccc(-c2nccs2)cc1CNC1CCCNC1c1ccccc1,0
149,CC(C)(C)c1ccc(OC(F)(F)F)c(CNC2CCCNC2c2ccccc2)c1,0
150,CC(C)(C)c1nc(N2CCN(CCCSc3nccc(=O)[nH]3)CC2)cc(C(F)(F)F)n1,0
151,COc1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,0
152,c1ccc(NCCCOc2cccc(CN3CCCCC3)c2)nc1,0
153,FC(F)Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,0
154,Brc1cccc(Br)c1N=C1NCCN1,0
155,COc1cccc(CC2CCN(C3CCC(OC)(c4ccc5c(c4)OCO5)CC3)CC2)c1,0
156,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I,0
157,Clc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,0
158,O=c1ccc(-c2c(-c3ccccc3)nn3ccccc23)nn1CCN1CCCCC1,0
159,CCCC(C)CC,0
160,Clc1ccc(Cl)c(N=C2NCCN2)c1,0
161,Clc1cc(Br)cc(Cl)c1N=C1NCCN1,0
162,Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,0
163,Ic1ccc(CN2CCCCC2)cc1CN1CCCCC1,0
164,Clc1cccc(Cl)c1NC1N=CCN1,0
165,CCCCCCN1CCN(c2ccc(I)cc2)CC1,0
166,CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,0
167,c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1,0
168,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3o2)c1,0
169,O=C1CN=C(c2ccccc2)c2c(Cl)cccc2N1,0
170,COc1ccc(C(C)(C)C)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,0
171,FC(F)(F)CC(Cl)Br,0
172,COc1ccccc1CNC1CCCNC1c1ccccc1,0
173,CCc1cccc(N=C(C)Nc2cccc(CC)c2)c1,0
174,CC1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
175,Cc1cccc2c1Oc1ccccc1C1(O)CCNCC21,0
176,COc1cc2sc(C)nc2cc1CNC1CCCNC1c1ccccc1,0
177,COc1cc2sc(-c3ccccc3)nc2cc1CNC1CCCNC1c1ccccc1,0
178,COc1ccc(-n2nc(C)cc2C)cc1CNC1CCCNC1c1ccccc1,0
179,COc1cc2oc(C)nc2cc1CNC1CCCNC1c1ccccc1,0
180,COc1cc2sc(C3CC3)nc2cc1CNC1CCCNC1c1ccccc1,0
181,COc1cc2sc(C(C)(C)C)nc2cc1CNC1CCCNC1c1ccccc1,0
182,FC(Br)CC(F)(F)F,0
183,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,0
184,COc1cc2c(c(CNC3CCCNC3c3ccccc3)c1)OCC2,0
185,NCCn1ncc2cc(Cl)c(Cl)cc21,0
186,CCCN(CCC)CCc1ccc2c(c1)CC(=O)N2,0
187,COc1ccc(C(C)(C)C)cc1CNC1CCCNC1c1ccccc1,0
188,Clc1ccc2c(c1)C1CNCC1c1ccccc1O2,0
189,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0
190,F/C=C/O/C=C/F,0
191,CCC(C)N1CCN(c2ccc(I)cc2)CC1,0
192,CN1CCN(CCCN2c3ccccc3Sc3cccc(C(F)(F)F)c32)CC1,0
193,CCC(C)Nc1ccc(I)c(NC(C)CC)c1,0
194,Cc1nc2cc(CNC3CCCNC3c3ccccc3)c(OC(C)C)cc2s1,0
195,CN(C)c1ccccc1Sc1ccc(CCF)cc1N,0
196,N[C@H]1C[C@@H]1c1ccc(F)cc1,0
197,CCCN1CCOC2c3cc(O)ccc3CCC21,0
198,Fc1ccc(Cn2c([C@H]3CNCCS3)nc3ccccc32)cc1,0
199,CC(C)CN1CCN(c2ccc(I)cc2)CC1,0
200,CN(C)Cc1ccccc1Sc1ccc(F)cc1N,0
201,Clc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,0
202,FC(F)(F)CCC(Cl)Br,0
203,Fc1ccc(Cn2c([C@@H]3CCCNC3)nc3ccccc32)cc1,0
204,CC1NC(NCC(F)F)=Nc2cccc(Cl)c21,0
205,Cc1ccc(Cn2c([C@H]3CNCCO3)nc3ccccc32)cc1,0
206,Fc1ccc(Cn2c([C@H]3CNCCO3)nc3ccccc32)cc1,0
207,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,0
208,CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,0
209,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,0
210,S=C=S,0
211,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0
212,Clc1cccc(Cl)c1NC1=NCCN1,0
213,CN(C)c1ccnc2sc3c(=O)n(N4CCCCCC4)cnc3c12,0
214,C[n+]1c2n(c(=O)c3ccccc31)CCC1c3ccccc3NC21,0
215,COc1ccc2c(c1)[C@@]13CCCC[C@@H]1[C@@H](C2)N(C)CC3,0
216,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,0
217,CN(C)CC/C=C1\c2ccccc2COc2ccccc21,0
218,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1,0
219,COc1ccc2c3c1OC1CC(O)C=C(CN(C)C2)C31,0
220,N#Cc1ccc(OCC2CCN(C/C=C/I)CC2)cc1,0
221,Cl/C(=C\n1cncn1)c1ccc(Cl)cc1Cl,0
222,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,0
223,CNCCCC12CCC(c3ccccc31)c1ccccc12,0
224,CCN(CC)Cc1ccc2c(c1)CCC(N1CCN(CCc3ccc(F)cc3)CC1=O)C2,0
225,Clc1ccc2[nH]nc(NC3CCN(Cc4ccc5c(c4)OCO5)CC3)c2c1,0
226,O=c1cc(NC2CCN(C/C=C/c3ccccc3)CC2)c2cc(Cl)ccc2o1,0
227,CCc1ccc(-c2ccc(C(=O)N(C)C3CCN(C(=O)N4CCC(N5CCCCC5)C4)C3)cc2)cc1,0
228,COc1ccc2[nH]nc(NC3CCN(Cc4ccc5c(c4)OCO5)CC3)c2c1,0
229,COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OCCN1CCCC1,0
230,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,0
231,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0
232,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0
233,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,0
234,c1ccc2c(c1)[nH]c1cnccc12,0
235,c1cncc([C@@H]2CCCN2)c1,0
236,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0
237,CN[C@H](C)CC1CCCCC1,0
238,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,0
239,CC(C)=CCN1Cc2cc(Cl)cc3[nH]c(=S)n(c23)CC1C,0
240,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,0
241,CC(CF)NC[C@H](O)COc1cccc2[nH]c3ccccc3c12,0
242,CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1,0
243,CN1C2CC(OC(=O)[C@@H](CO)c3ccccc3)CC1C1OC12,0
244,C=CCC1([C@H](C)CCC)C(=O)NC(=O)NC1=O,0
245,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0
246,Clc1ccc(NC2=NCCN2)c(Cl)c1,0
247,CNCCCC1(c2ccccc2)SC(C)(C)c2ccccc21,0
248,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,0
249,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,0
250,Clc1ccc(Cl)c(NC2=NCCN2)c1,0
251,Clc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,0
252,Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,0
253,Brc1cccc(Br)c1NC1=NCCN1,0
254,Clc1cc(Br)cc(Cl)c1NC1=NCCN1,0
255,Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)N(C)C(=O)CO5)CC3)cccc2n1,0
256,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,0
257,O=C(OCc1ccccc1)N1CCC(CNc2ccncc2)CC1,0
258,CCN(CC)CCNC(=O)c1ccc(N)c(Cl)c1,0
259,CNCc1ccc(NC(=O)c2cc(C)n(Cc3cc(Cl)ccc3OCc3ccccc3)n2)cc1,0
260,Cc1cc(-c2ccccc2)nnc1N1CCN(c2ncccn2)CC1,0
261,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,0
262,O=C1c2ccccc2S(=O)(=O)N1CCCCN[C@H]1CCc2ccccc2O1,0
263,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,0
264,Cc1cccc(C)c1Nc1ncc(-c2ccc(OCCN3CCCC3)cc2)n2cncc12,0
265,COc1ccc(-n2nnnc2C(F)(F)F)cc1CNC1CCCNC1c1ccccc1,0
266,CCOC(=O)Cc1cc2c(c(N)n1)N=C(c1ccccc1)C(C)N2,0
267,Cc1cc(NC(=O)c2ccc(CN3CCCC3)cc2)nn1Cc1cc(Cl)ccc1OCC(C)C,0
268,Cc1cn(-c2cccc(Nc3ncnc4c3CCc3ccccc3-4)c2)cn1,0
269,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,0
270,Nc1nc2ccc(OC(F)(F)F)cc2s1,0
271,OC1CNCc2ccccc21,0
272,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,0
273,Cc1nc2c(c(-n3ccc(C(F)(F)F)n3)n1)CCN2c1ccc(Cl)cc1Cl,0
274,O=c1[nH]c(C2=CC(N3CCC(c4ccccc4)CC3)CC2)nc2c(Cl)cccc12,0
275,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0
276,CCOC(=O)Nc1cc2c(c(N)n1)N=C(CN(C)c1ccc(OC)cc1)CN2,0
277,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCN(C)CC1,0
278,Clc1ccc2c(c1)C1CCNCC1c1ccccc1O2,0
279,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21,0
280,COc1ccc(C=C2CCCN=C2c2cccnc2)c(OC)c1,0
281,O=C(Nc1ccc(Cl)nc1)c1ccc(F)c(F)c1,0
282,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,0
283,O=S(=O)(c1cccc(Cl)c1)n1ccc2c(N3CCNCC3)c(Cl)ccc21,0
284,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0
285,Fc1ccc([C@@H]2CCNCC2COc2ccc3c(c2)OCO3)cc1,0
286,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,0
287,c1ccc2c(c1)CCNC2,0
288,N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2,0
289,Cc1ccn(CCCCN2CCN(c3cc(C(F)(F)F)nc(C(C)(C)C)n3)CC2)c(=O)c1,0
290,C#CCN(C)[C@H](C)Cc1ccccc1,0
291,c1cnc(N2CCNCC2)nc1,0
292,CCCCC1CCN(CCCN2C(=O)CCc3ccccc32)CC1,0
293,CC1=NC(O)C(=O)Nc2ccc(Cl)cc21,0
294,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0
295,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0
296,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,0
297,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCCO,0
298,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0
299,CSc1ccc2c(c1)N(CCC1CCCCN1)c1ccccc1S2,0
300,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0
301,Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,0
302,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,0
303,CC(C)(C)c1cc(CN2CCN(CC(O)c3ccc(Cl)cc3)CC2)cc(C(C)(C)C)c1O,0
304,N#Cc1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1,0
305,CN1CCC2(O)c3ccccc3Oc3ccc(Cl)cc3C2C1,0
306,COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,0
307,CNCCC=C1c2ccccc2CCc2ccccc21,0
308,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,0
309,CNCCCN1c2ccccc2Sc2cccc(Cl)c21,0
310,FC(F)(Cl)C(F)(F)Cl,0
311,CC1CCCCC1(c1cccs1)N1CCCCC1,0
312,CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C,0
313,CC(=O)NCCCN1CCN(c2cc(Cl)ccc2Cl)CC1,0
314,CC(=O)OC1CCC2(C)C3CCC4(C)C(C(C)CCCC(C)C)CCC4C3CC(Br)C2(Br)C1,0
315,CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,0
316,CC(=O)OCC(=O)OCCC(SC(=O)c1ccco1)=C(C)N(C=O)Cc1cnc(C)nc1N,0
317,CC(=O)NC(CCC(N)=O)C(=O)O,0
318,CC(=O)NCC1(c2ccccc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,0
319,CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1,0
320,CC(=O)OCCC(SC(C)=O)=C(C)N(C=O)Cc1cnc(C)nc1N,0
321,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,0
322,CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(OC(C)=O)ccc5c4C12CCN(C)C3C5,0
323,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0
324,CC(=O)OCC1=COC(OC(=O)CC(C)(C)OC(C)=O)C2C1=CC(OC(=O)CC(C)C)C21CO1,0
325,C=CC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,0
326,O=C(COc1ccc(Cl)cc1)OCCNC12CC3CC(CC(C3)C1)C2,0
327,O=C(NCCN1CCN(c2ncccn2)CC1)C12CC3CC(CC(C3)C1)C2,0
328,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,0
329,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC21C,0
330,CCCN(CCC)C1Cc2cccc3cc(O)cc(c23)C1,0
331,CC12CC(=O)C3C(CCC4CC(O)CCC43C)C1CCC2C(=O)CO,0
332,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,0
333,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,0
334,CC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)CCC4(C)C3CCC12C,0
335,COC1(F)C(F)(F)C1(F)Cl,0
336,C=CCN1CCC23c4c5ccc(O)c4OC2C2(OC)C=CC3(CC2C(C)(O)CCC)C1C5,0
337,C=CCN1C(=O)OC(C)C1=O,0
338,CNCC1CN(c2ccc(OCc3cccc(Cl)c3)cc2)C(=O)O1,0
339,COc1cccc2c1CC(CCCNCCCCN1C(=O)CC3(CCCC3)CC1=O)CO2,0
340,O=C1CCC2(CCC(=O)c3ccccc32)C(=O)N1,0
341,CC(=O)NCCn1c(C)cc(C=O)c1C,0
342,CC(CC#N)N(C)CC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1F,0
343,CCC(=O)OC1(c2ccccc2)CCN(C)CC1CC,0
344,CCC(O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0
345,C=CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,0
346,O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O,0
347,CCC1(CC)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,0
348,CC1(c2ccccc2)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,0
349,CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,0
350,CCC(=O)OC1(C(=O)COC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
351,Cc1cccc(C)c1NC(=O)c1ccc(N)cc1,0
352,CC(C)n1cc2c3c(cccc31)C1CC(C(=O)NC3CCCCC3)CN(C)C1C2,0
353,CC(Cc1ccccc1)NC(C#N)c1ccccc1,0
354,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,0
355,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,0
356,C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,0
357,CC(C)CCOC(CN1CCCC1)c1ccccc1,0
358,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0
359,Nc1cccc(-n2ccccc2=O)c1,0
360,CN(C)c1cnccn1,0
361,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,0
362,COc1ccc(C(=O)N2CCCC2=O)cc1,0
363,COc1cc2oc(=O)c(C)c(C)c2cc1OCCCN1CCN(c2ccccc2OC)CC1,0
364,CCCNC(=O)c1ccc2c(c1)N(CCN1CCCC1)c1ccccc1S2,0
365,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,0
366,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,0
367,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0
368,O=C1OC(C(O)CO)C(O)=C1O,0
369,CCN(CC)c1ccc(NC(=O)c2ccccc2N)c(C)c1,0
370,CN1C2CCC1CC(OC(=O)C(C)(CO)c1ccccc1)C2,0
371,C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0
372,CN(C(=O)CNC(=O)C(N)CCCCN)c1ccc(Cl)cc1C(=O)c1ccccc1,0
373,O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CC2COc3ccccc3O2)CC1,0
374,Nc1ccc(S(=O)(=O)N2CC3CCC(CC3)C2)cc1,0
375,O=C(CCCN1CCN2CCCC2C1)c1ccc(F)cc1,0
376,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,0
377,O=C1NCCN1C1CCN(CCC2COc3ccccc3O2)CC1,0
378,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,0
379,c1ccc2c(c1)CCN1CCNCC21,0
380,c1ccc2c(c1)cc1n2CCCNC1,0
381,CN(CCc1cc2cccc3c2n1-c1ccccc1CC3)Cc1ccccc1,0
