SMILES,logBB
FC(F)(F)c1ccc(cc1)OC(CCNC)c2ccccc2,0.72000003
O=C(O)c1c(O)ccc(c1)O,0.085000002
c1cc(F)ccc1C(=O)CCCN(CC2)CCC2(O)c3ccc(Cl)cc3,1.33
FC(F)(F)C(Cl)Br,0.334999995
O=C1NC(=O)N(C)C(=O)C1(C)C2=CCCCC2,0.05
c1cc(Cl)ccc1C(c2ccccc2)N3CCN(CC3)CCOCCO,0.375000005
O=C(O)C(C)c1ccc(cc1)CC(C)C,-0.18000001
CCN(CC)CC(=O)Nc(c1C)c(C)ccc1,0.34
CN(C)CCCN(c(c12)cccc1)c3c(CC2)cccc3,0.90500001
FC(F)(F)C(Cl)OC(F)F,0.37
CC(C)O,-0.15000001
c1ccc(Cl)c(Cl)c1-c2c(N)nc(N)nn2,0.384999995
c1ccccc1C(C(=O)N(C)C)(c2ccccc2)CCN(CC3)CCC3(O)c4ccc(Cl)cc4,0.76999998
c1c(Cl)ccc(c12)NC(=O)C(O)N=C2c3c(Cl)cccc3,0.44
c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2C(O)C3CCCCN3,0.63
ClC(Cl)C(F)(F)OC,0.175
N1CCCCC1C(C(=O)OC)c2ccccc2,0.88
CC(C)NCC(O)COc(cc1)ccc1CCOC,1.15
C1CN(C)CC2N1c(cccc3)c3Cc(c24)cccc4,0.99000001
C1CN(C)CC2N1c(nccc3)c3Cc(c24)cccc4,0.52999997
Cc1ccnc(c12)N(C3CC3)c4c(C(=O)N2)cccn4,0
c1c(Cl)ccc(c12)NC(=O)C(O)N=C2c3ccccc3,0.60500001
Cn1cnc(c12)[nH]c(=O)n(C)c2=O,0.07
CC(C)=CCN(CC1)C(C2C)Cc(c3C12C)ccc(c3)O,0.524999995
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.099999999
CC(C)NCC(O)COc1cccc(c12)[nH]cc2,-0.14
O=C1NCNC(=O)C1(CC)c2ccccc2,-0.07
c1cc(N)ccc1C(=O)OCCN(CC)CC,0.050000001
CN(C)CCCN1c(cccc2)c2Sc(c13)cccc3,1.155
CC(C)c1c(O)c(C(C)C)ccc1,0.665
CC(C)NCC(O)COc1cccc(c12)cccc2,0.739999985
n1ccccc1N(CCN(C)C)Cc2ccc(cc2)OC,0.49000001
C1CCCn(c12)c(=O)c(c(n2)C)CCN(CC3)CCC3c4noc(c45)cc(F)cc5,-0.21
O=C1CC(CN1)c2cc(c(cc2)OC)OC3CCCC3,0.61000001
CCCN(CCC)CCc1cccc(c12)NC(=O)C2,0.164999999
FC(F)(F)C(C(F)(F)F)OCF,0.30000001
c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)NCN3c4ccccc4,0.25999999
CC(C)(C)c1ccc(cc1)C(O)CCCN(CC2)CCC2C(O)(c3ccccc3)c4ccccc4,0.63999999
CN1CCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)SC,0.249999995
n1nc(C)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4c(Cl)cccc4,0.62000001
FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(C)CC4,1.4299999
FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN(C)C,1.4400001
c1ccccc1C(=O)OC(C2C(=O)OC)CC(N3C)CCC23,0.60000002
n1nnn(c12)CCCCC2,-0.029999999
C=CC(C12)CN(CC2)C(C1)C(O)c3ccnc(c34)ccc(c4)OC,-0.20999999
CNC(=O)Oc(c1)ccc(c1C23C)N(C)C2N(C)CC3,0.079999998
Cc1c(N(C)C)c(=O)n(n1C)-c2ccccc2,0
CCCCN(C1)CC2C1Cc(c23)cc(OC)c(c3)OC,0.31
ClC(Cl)Cl,0.274999995
CCCCCO,0.2
ClC(Cl)(Cl)C,0.319999995
C=C,0.31
C1CC1,0.07
C1CO1,0.01
CC(Br)C,0.56
CC(C)(C)O,0.11
CC(C)(C)CC,1.035
CC(C)(O)CC,0.07
c1ccccc1C2(CCCCC2)N3CCCCC3,0.50999999
CCCCC1(CC)C(=O)NC(=O)NC1=O,0.19
CC(C)CO,-0.17
CC(=O)CC,-0.075
ClC(Cl)CCl,-0.1
ClC(Cl)=CCl,0.320000005
CC(=O)OC,-0.13
c1cc(O)ccc1C(C)(C)c2ccc(O)cc2,-0.12
CCCOC(=O)c1ccc(N)cc1,0.55000001
Cc1c(C)cccc1,0.399999995
Cc1c(C)ccc(C)c1,0.16
CCC(C)CC,1.01
CC1CCCC1,0.93000001
CC(C)(C)c1ccccc1,0.43000001
FC(F)(F)c1ccc(Cl)cc1,0.17
CCc1ccccc1,0.24
C=Cc1ccccc1,0.44999999
Cc1ccc(C)cc1,0.355000005
CCCBr,0.27000001
C=CC=C,-0.17
CC(C)CCC,0.97500001
CC(=O)CCC,-0.01
CC(=O)OC(C)C,0.40000001
Cc1cc(C)ccc1,0.25
CC1CCCCC1,0.95999998
CC(=O)OCCC,0.12
CCCCC,0.755
C=COC=C,0.13
CC(=O)OCC(C)C,0.44999999
CCCCCC,0.789999985
C1CCCCC1,1.03499999
C=CCCCCCC,0.74000001
CCCCCCCCC,0.51999998
CC=C,-0.059999999
Cc1c(I)c(=O)n(n1C)-c2ccccc2,-0.1
OCC(C)CC,0.039999999
CC(=O)OCC,0
CCCCCCC,0.784999995
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,0.36000001
CCC#CC(C)C1(CC=C)C(=O)N(C)C(=O)NC1=O,-0.065
C1CN(C)Cc2ccc(OC)c(c2C134)OC3CC(O)C=C4,0.31999999
FC(F)=CCl,-0.02
FC(F)(F)COC=C,0.13
CC1C(C)CCCC1,1.0700001
CC(C)CCCC,0.86000001
CC(C)CCCCC,0.86000001
CC(=O)OCCCCC,0.40000001
ClC(Cl)(Cl)CCl,0.33000001
CC(C)(C)OCC,0.22
CCCC(=O)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(C)CC4,0.82999998
C1=CCN(CC2)C3C1(CC)C(OC(=O)C)C(O)(C(=O)OC)C4N(C)c(c5C234)cc(OC)c(c5)C(C(=O)OC)(c(c6c78)[nH]c7cccc8)CC9CC(O)(CC)CN(C9)CC6,-0.07
CC(C)CCCCCCC,1.05
C=CCCCCCCCC,0.95999998
CC(C)(C)OC,0.36000001
CCCCCCCCCC,0.67000002
FS(F)(F)(F)(F)F,0.365
CC(C)NCC(O)COc(cc1C)ccc1,0.31
CC(C)(C)C1CCCCC1,0.61000001
CC(C)CCCCCC,0.98000002
c1cccc(C2C(=O)N)c1C=Cc(c23)cccc3,0
CNCCCN1c(cccc2)c2Sc(c13)cccc3,0.58999997
CC(=O)OCCCC,0.28
CC(=O)OCCC(C)C,0.55000001
C=CCCCCCCC,0.86000001
FC(F)(F)C(F)Br,0.27000001
ClC(Cl)=C(Cl)Cl,0.37
c12c3c4ccc1cccc2ccc3ccc4,0.23
CN1CCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)S(=O)(=O)C,0.18000001
FC(F)(F)C(F)OC(F)F,0.11
CSCC(C1)CN(CCC)C(C2)C1c3cccc4[nH]cc2c34,0.30000001
COC(C)(C)CC,0.17
CNCCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,1.375
NC(=O)CC(O)(CC)c1ccccc1,0.039999999
CCc(cc1)ccc1C(=O)C(C)CN2CCCC2,1.08
CCCCCC1(CC)C(=O)NC(=O)NC1=O,0.090000004
C1CCNc(c12)cccc2,0.66000001
NCCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,0.97000003
C=COCCCCOC=C,0.12
CC(C)(C)OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,1
c1c(Cl)ccc(c12)NC(=O)CC(=O)N2c3ccccc3,0.354999995
N1CCNC1=Nc2c(Cl)cc(Cl)cc2,0.16
CC1C(C)CCC(C)C1,1.02
c1cccc(c12)sc(n2)NCCCOc(ccc3)cc3CN4CCCCC4,0.14
FCC(O)Cn1ccnc1[N+]([O-])=O,-0.01
Cc1cc(=O)n(n1C)-c2ccc(F)cc2,-0.050000001
CCC1(C)C(=O)NC(=O)NC1=O,-0.22
c1nc(CO)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4c(F)cccc4,-0.079999998
C1NCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)SC,0.754999995
c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)N(C)CN3c4ccccc4,0.46000001
CNCCCN(c(c12)ccc(c1)O)c3c(CC2)cccc3,0.52999997
CCOC(=O)c1ncn(c12)c3c(cc(F)cc3)C(=O)N(C2)CCF,-0.14
c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)NCN3c4ccc(Br)cc4,0.07
c1cccc(c12)N(CCCN)c3c(CC2)cccc3,1.055
Cc1cccc(C2CN(C)CC3)c1Oc(c4C23O)cccc4,0.81999999
c1ccccc1C(CO)C(=O)OC(C2)CC(N3C)CCC23,-0.059999999
c1ccccc1NC(=O)Oc(c2)ccc(c2C34C)N(C)C3N(C)CC4,1
C1CCCNc(c12)cc(cc2)C(=O)CCC3CCN(CC3)Cc4ccccc4,1.14
CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,0.02
CCCC1(CC)C(=O)NC(=O)NC1=O,0.090000004
C#CC1(O)CCC(C12C)C3C(CC2)C4=C(CC3C)CC(=O)CC4,0.40000001
Cc1c(F)c(=O)n(n1C)-c2ccccc2,-0.050000001
c1ccccc1C(CC)=C(c2ccccc2)c3ccc(cc3)OCCN(C)C,0.92000002
N=C(N)Nc(n1)scc1C,-0.039999999
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-0.165
C1CCCCC1NC(=S)N(CC2)CCC2c3c[nH]cn3,-0.165
N=C(N)Nc(n1)scc1-c2ccccc2,-0.18000001
c1ccccc1C(CC)NC(=O)c2c(C)c(-c3ccccc3)nc(c24)cccc4,0.30000001
c1cc(O)cc(c12)occ(c2=O)-c3ccc(O)cc3,-0.15000001
O1C2C(O)C=CC3C(N(C)CC4)Cc5ccc(c1c5C234)OC,0.499999995
c1cc(C(F)(F)F)ccc1C(=NOCCN)CCCCOC,0.79000002
C1CCCC2C(N(C)CC3)Cc(c4C123)ccc(c4)O,0
CC(C)c1cc(c(cc1)OC)CNC(C23)C(N(CC2)CC3)C(c4ccccc4)c5ccccc5,0.47999999
FC(F)(F)c1c(Cl)nc(cc1)N2CCNCC2,1.64
c1cc(Br)c(=O)n(c12)CC3CC2CNC3,-0.050000001
C1CN(C)CCC1n(n2)c(=O)ccc2-c3c(-c4ccccc4)nn(c35)cccc5,0.059999999
C=CCC(N)c1c(cccc1)-c2noc(c23)cccc3,0
FC(F)(F)Oc(c1)ccc(OC)c1CNC(CCCN2)C2c3ccccc3,0.63
FC(F)(F)Oc(c1)ccc(OC(C)C)c1CNC(CCCN2)C2c3ccccc3,0.41
CC(C)c1cc(c(cc1)OC)CNC(CCCN2)C2c3ccccc3,0.92000002
CN(C1)CC(C12)c3c(cccc3)Oc4c2cc(Cl)cc4,1.03
FC(F)(F)c1cc(ncc1)N(CC2)CCN2CCCCN3CCCC3=O,0.16
c1ccccc1C2C(CCCN2)NCc3c(OC)ccc(c3)-c4nccs4,0.36000001
CC(C)(C)c1cc(c(cc1)OC(F)(F)F)CNC(CCCN2)C2c3ccccc3,0.95999998
CC(C)(C)c(n1)nc(cc1C(F)(F)F)N(CC2)CCN2CCCSc([nH]3)nccc3=O,0.30000001
c1ccccc1C(c2ccccc2)C(N(CC3)CC4)C(C34)NCc5c(OC)cccc5,0.37
n1ccccc1NCCCOc(ccc2)cc2CN3CCCCC3,0.69
COC(=O)C1C(C)CC(=CC1=O)Nc2cc(OC(F)(F)F)ccc2,-0.17
FC(F)(F)Oc(c1)ccc(OC(F)F)c1CNC(CCCN2)C2c3ccccc3,0.88
N1CCNC1=Nc2c(Br)cccc2Br,0.33000001
FCCCCCCCCn1ccnc1[N+]([O-])=O,-0.17
c1ccc(OC)cc1CC2CCN(CC2)C(CC3)CCC3(OC)c(c4)ccc(c45)OCO5,0.74000001
OCCCOc(ccc1)cc1CN2CCCCC2,-0.02
c1cc(O)cc(c12)sc(n2)-c3cc(I)c(N)cc3,0.18000001
N1CCNC1=Nc2c(Cl)cc(Cl)cc2Cl,0.47
C1CCCCN1CCn(n2)c(=O)ccc2-c3c(-c4ccccc4)nn(c35)cccc5,0.38
CCC(C)CCC,0.89999998
N1CCNC1=Nc2c(Cl)ccc(Cl)c2,0.38
N1CCNC1=Nc2c(F)cccc2F,-0.2
N1CCNC1=Nc2c(Cl)cc(Br)cc2Cl,0.41
N1CCNC1=Nc2c(Br)cc(Br)cc2Br,0.57999998
C1CCCCN1Cc2c(I)ccc(c2)CN3CCCCC3,0.98000002
N1CC=NC1Nc2c(Cl)cccc2Cl,0.11
c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)N(CCC)CN3c4ccc(Br)cc4,-0.01
CCCCCCN1CCN(CC1)c2ccc(I)cc2,1.01
CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,0.23999999
n1ccccc1CSCCNc([nH]c2)c([N+]([O-])=O)c2Cc3ccccc3,-0.12
s1ccnc1NCCCOc(ccc2)cc2CN3CCCCC3,0.44
c1cccc(c12)oc(n2)NCCCOc(ccc3)cc3CN4CCCCC4,0.22
Clc1cccc(c12)NC(=O)CN=C2c3ccccc3,0.5
CC(C)(C)c1cc(c(cc1)OC)CNC(C23)C(N(CC2)CC3)C(c4ccccc4)c5ccccc5,0.46000001
FC(F)(F)CC(Cl)Br,0.34999999
c1cccc(OC)c1CNC(CCCN2)C2c3ccccc3,0.87
CCc1cc(ccc1)NC(C)=Nc(ccc2)cc2CC,1.2
CS(=O)(=O)c(c1)ccc(OC)c1CNC(CCCN2)C2c3ccccc3,-0.15000001
FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN(CC4)CCC4C,1.4400001
Cc1cccc(C2CNCC3)c1Oc(c4C23O)cccc4,0.51999998
Cc(n1)sc(c12)cc(OC)c(c2)CNC(CCCN3)C3c4ccccc4,0.47999999
c1ccccc1C2C(CCCN2)NCc3c(OC)ccc(c3)N4CCCC4=O,-0.22
c1ccccc1C2C(CCCN2)NCc(c3)c(OC)cc(c34)sc(n4)-c5ccccc5,1.26
c1ccccc1C2C(CCCN2)NCc3c(OC)ccc(c3)-n(n4)c(C)cc4C,0.11
Cc(n1)oc(c12)cc(OC)c(c2)CNC(CCCN3)C3c4ccccc4,0.49000001
c1ccccc1C2C(CCCN2)NCc(c3)c(OC)cc(c34)sc(n4)C5CC5,0.62
CC(C)(C)c(n1)sc(c12)cc(OC)c(c2)CNC(CCCN3)C3c4ccccc4,0.85000002
FC(F)(F)CC(F)Br,0.27000001
FCOCC(O)Cn1ccnc1[N+]([O-])=O,-0.01
Cc(c1)sc(c12)Nc3c(cccc3)N=C2N(CC4)CCN4C,0.77999997
COc(c1)cc(c(c12)OCC2)CNC(CCCN3)C3c4ccccc4,0.38999999
NCCn(nc1)c(c12)cc(Cl)c(Cl)c2,0.11
CCCN(CCC)CCc(c1)ccc(c12)NC(=O)C2,0.25
CC(C)(C)c1cc(c(cc1)OC)CNC(CCCN2)C2c3ccccc3,0.98000002
C1NCC(C12)c3c(cccc3)Oc4c2cc(Cl)cc4,0.38999999
c1ccc(=O)n(c12)CC3CC2C(Br)NC3,-0.050000001
CN1CCN(CC1)C2=Nc(cc(Cl)cc3)c3Nc(c24)cccc4,1
F\C=C\O/C=C/F,0.13
CCC(C)N1CCN(CC1)c2ccc(I)cc2,1.38
FC(F)(F)c1cccc(c12)Sc3c(cccc3)N2CCCN4CCN(C)CC4,1.4400001
CCC(C)Nc1c(I)ccc(c1)NC(C)CC,0.63999999
Cc(n1)sc(c12)cc(OC(C)C)c(c2)CNC(CCCN3)C3c4ccccc4,0.31999999
FCCc1cc(N)c(cc1)Sc(c2N(C)C)cccc2,0.55000001
CC(F)OC(=O)c1ncn(c12)c3c(C(=O)N(C)C2)cc(F)cc3,-0.095000002
C1[C@H](N)[C@H]1c2ccc(F)cc2,0.81
CCCN1CCOC2C1CCc(c23)ccc(c3)O,0.26
COc1c(OC)ccc(c12)C[C@H]3c4c(CCN3C2)cc(OC)c(c4)OC,-0.07
CCCCCc(cc1O)cc(c12)OC(C)(C)[C@H]3[C@H]2C=C(C)CC3,0
c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@H]4CNCCS4,0.89
CCCCNC(=S)Nc1ccccc1,0.03
C1NC(C)(O)N(C=12)c3c(cc(Cl)cc3)C(=NC2)c4c(F)cccc4,-0.07
CC(C)CN1CCN(CC1)c2ccc(I)cc2,1.38
CN(C)Cc1c(cccc1)Sc(c2N)ccc(F)c2,0.2
c1cccn(c12)ncc2CN3CCN(CC3)c4ccc(Cl)cc4,0.64
CC(C)CCO,0.04
FC(F)(F)CCC(Cl)Br,0.35
c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@@H]4CCCNC4,0.39
c1nc(C)n(c12)c3c(cc(Cl)cc3)C(=N[C@@H]2O)c4c(F)cccc4,-0.03
FC(F)CNC(NC1C)=Nc(c12)cccc2Cl,0.6
c1cc(C)ccc1Cn(c(c23)cccc2)c(n3)[C@H]4CNCCO4,0.36
c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@H]4CNCCO4,0.77
OC[C@H]1C=C[C@@H](C1)n(cn2)c(c23)nc(N)nc3NC4CC4,-0.22
C=CC[C@@]1(CC=C)C(=O)NC(=O)NC1=O,-0.22
N1CCCN=C1NCCCNCC(CC2)Oc(c23)cccc3,-0.01
c1c(Cl)ccc(c12)Oc3c(cccc3)N=C2N4CCNCC4,0.6
COc(cc1)ccc1CCN(CC2)CCC2Nc(n3)n(c(c34)cccc4)Cc5ccc(F)cc5,1.1
NC(N)=Nc(n1)scc1-c2ccccc2,-0.18
CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)C3CCNCC3,-0.01
CCC12c3c(ccc(c3)O)CC(C1(C)C)N(CC2)CC4(O)CC4,0.6
CC(C)(C)OC(=O)c1ncn(c12)c3c(c(Br)ccc3)C(=O)N4[C@H]2CCC4,-0.09
c1ccccc1C2(CCN(C(C)(C)C)CC2)c3ccccc3,0.66
S=C=S,0.6
c1cc(C#N)cc(c12)COC2(CCCN(C)C)c3ccc(F)cc3,0.99
N1CCN=C1Nc2c(Cl)cccc2Cl,0.11
CN(C)c1ccnc2sc(c3c12)c(=O)n(cn3)N4CCCCCC4,0.43
OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@@H]3[C@H]([C@H](C2)O)[C@]4(C)C(CC3)=CC(=O)CC4,-0.22
c1cccc(c2=O)c1[n+](C)c3n2CCC4C3Nc(c45)cccc5,0.11
C1CCC[C@@H]2[C@H]([N@](C)CC3)Cc(c4[C@@]123)ccc(c4)OC,0.22
O1[C@H]2[C@@H](O)CC[C@H]3[C@H](N(C)CC4)Cc5ccc(c1c5[C@@]234)OC,0.55
COC(=O)[C@H]1[C@@H](C)CC(=CC1=O)Nc2ccc(Cl)cc2,0
CN(C)CC/C=C\1c(cccc2)c2OCc(c13)cccc3,1
n1ccccc1[C@@](C)(OCCN(C)C)c2ccccc2,0.64
C1N=C(N)N2c(cccc3)c3Cc(c4C12)cccc4,-0.16
CCNC(=O)C(C(=O)N)c1ccccc1,-0.19
n1cncn1CC(O)(Cn2cncn2)c3c(F)cc(F)cc3,-0.22
FCOCC(O)Cn1ccnc1N(=O)=O,-0.01
O=C(O)CC1(CN)CCCCC1,-0.19
C1C(O)CC(O2)C3C=1CN(C)Cc4ccc(c2c34)OC,0.2
N#Cc1ccc(cc1)OCC2CCN(CC2)C/C=C/I,1.13
NC(N)=Nc(s1)ncc1C,-0.04
C1CCCN1CCn(nc2)c(c23)cc(cc3)NC(=O)Cc4ccc(cc4)OCc5ccccc5,-0.2
CN(C)Cc1ccc(cc1)-c2c[nH]c(=O)c(c23)cccc3O,-0.09
CS(=O)(=O)CCNCc1ccc(o1)-c(c2)ccc(c23)ncnc3Nc(cc4)cc(Cl)c4OCc5cc(F)ccc5,-0.03
CC[C@@H](C(=O)N)N1CCCC1=O,-0.04
n1cncn1\C=C(Cl)\c2c(Cl)cc(Cl)cc2,0.28
CN1CCN(CC1)C2=Nc(cccc3)c3Oc(c24)ccc(Cl)c4,0.8
CNCCCC12c3c(cccc3)C(CC2)c4c1cccc4,1.3
c1cc(F)ccc1CCN(CC2=O)CCN2C(CC3)Cc(c34)ccc(c4)CN(CC)CC,0.48
O1COc(c12)ccc(c2)CN(CC3)CCC3Nc4n[nH]c(c45)ccc(Cl)c5,0.83
c1ccccc1\C=C\CN(CC2)CCC2Nc3cc(=O)oc(c34)ccc(Cl)c4,0.13
CCc1ccc(cc1)-c(cc2)ccc2C(=O)N(C)C3CCN(C3)C(=O)N(C4)CCC4N5CCCCC5,0.81
O1COc(c12)ccc(c2)CN(CC3)CCC3Nc4n[nH]c(c45)ccc(c5)OC,0.57
C1CCCN1CCOc(c2OC)ccc(c2)-n(cn3)c(=O)c(c34)sc(c4)-c5ccc(Cl)cc5,0.78
C1COc(c12)ccc(c2)CN(CC3)CCC3Nc4cc(=O)oc(c45)ccc(Cl)c5,-0.14
C1CN(C)CCC1(C(=O)OCC)c2ccccc2,0.85
NC(=O)OCC(C)(CCC)COC(=O)N,-0.15
c1ccccc1C(C(=O)CC)(CC(C)N(C)C)c2ccccc2,0.9
C,0.04
c1c(Cl)c(N)cc(OC)c1C(=O)NCCN(CC)CC,0.9
c1cc(F)ccc1C(=O)N(c2ccccn2)CCN3CCN(CC3)c4c(OC)cccc4,0.09
O=C(O)[C@@H](C)c(c1)ccc(c12)cc(cc2)OC,0.1
c1c(F)ccc(c12)OC(CC2)C(O)CNCC(O)C(CC3)Oc(c34)ccc(F)c4,0.57
c1cncc(c1c23)[nH]c2cccc3,0.48
N1CCC[C@H]1[c@@]2cccnc2,0.32
OCCN(CC1)CCN1CCCN2c(cccc3)c3Sc(c24)ccc(Cl)c4,0.7
O=C1NC(=O)NC(=O)C1(CC)c2ccccc2,-0.12
CC(C)(C)/[N+]([O-])=C\c1ccccc1,0.05
O\N=C\c1cccc[n+]1C,-0.17
OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H](C(C2)O)[C@]4(C)C(CC3)=CC(=O)C=C4,-0.18
CC(=O)[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)C(CC3)=CC(=O)CC4,-0.1
CN[C@H](C)CC1CCCCC1,1.08
C1COc(c12)c(cc(Cl)c2N)C(=O)NC3CCN(CC3)CCCOC,-0.1
OCCOCCN1CCN(CC1)C2=Nc(cccc3)c3Sc(c24)cccc4,0.7
C=CC(C12)CC(CC2)C(C1)C(O)c3ccnc(c34)ccc(c4)OC,0.1
[nH]1c(=S)n2CC(C)N(CC=C(C)C)Cc3cc(Cl)cc1c23,0.28
CCN(C)C(=O)Oc(ccc1)cc1[C@H](C)N(C)C,0.88
CS(=O)(=O)c(cc1)ccc1C(COC2=O)=C2c3ccccc3,-0.1
FCC(C)NC[C@H](O)COc1cccc2[nH]c(c3c12)cccc3,0.58
c1cc(F)ccc1OCC(O)CN(CC2)CCC2N(C)c(n3)sc(c34)cccc4,0.78
c1ccc(Cl)cc1OC2CCN(CC2)CCC3CCCN3S(=O)(=O)c(cc4)cc(c45)[nH]cc5,-0.04
CN1C2CC(CC1C(O3)C23)OC(=O)[C@@H](CO)c4ccccc4,0.23
CCC[C@@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,0.2
c1cccc(c12)[C@@H](NC)CC[C@H]2[c@@](c3)ccc(Cl)c3Cl,1.6
N1CCN=C1Nc2c(Cl)cc(Cl)cc2,0.16
c1ccccc1C2(CCCNC)SC(C)(C)c(c23)cccc3,0.22
CC(C)(C)C#C/C=C/CN(C)Cc1cccc(c12)cccc2,0.08
OC1CCC(C12C)C3C(CC2)C4(C)C(CC3)=CC(=O)CC4,0
c1c(Cl)c(N)cc(OC)c1C(=O)NC2C(OC)CNCC2,-0.22
NS(=O)(=O)OC[C@@]12[C@@H](OC(O1)(C)C)[C@H]3[C@@H](CO2)OC(O3)(C)C,-0.07
C1CCC[C@H](CN(C)C)[C@@]1(O)c2cc(OC)ccc2,0.72
Cl/C=C/Cl,0.04
CN(C)CC(C)CN(c(c12)cccc1)c3c(CC2)cccc3,0.99
N1CCN=C1Nc2c(Cl)ccc(Cl)c2,0.38
